Name,Value,Value Type,Type,Discount Class,Minimum Purchase Requirements,Combines with Order Discounts,Combines with Product Discounts,Combines with Shipping Discounts,Customer Selection,Times Used In Total,Applies Once Per Customer,Usage Limit Per Code,Status,Start,End
June2023_WBACK_10OFF150 (2024-05-19 09:00),-10,fixed_amount,Amount Off,order,150,,,,all,1,1,1,Active,2024-05-19 18:00:42 +0900,2024-05-27 18:00:42 +0900
June2023_TKS_5OFF50 (2024-05-19 03:02),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-19 12:02:40 +0900,2024-05-27 12:02:40 +0900
June2023_WBACK_20OFF300 (2024-05-19 03:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-19 12:00:36 +0900,2024-05-27 12:00:36 +0900
June2023_WBACK_3OFF30 (2024-05-19 02:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-19 11:00:33 +0900,2024-05-27 11:00:33 +0900
June2023_TKS_3OFF30 (2024-05-19 01:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-19 10:00:23 +0900,2024-05-27 10:00:23 +0900
6_2023_5OFF100 (2024-05-18 21:45),-5,fixed_amount,Amount Off,order,100,,,,all,1,1,1,Expired,2024-05-19 06:45:34 +0900,2024-05-23 06:45:34 +0900
0524_wishlist_5percents_off (2024-05-18 18:34),-5,percentage,Amount Off,order,,,,,all,0,1,1,Expired,2024-05-19 03:34:11 +0900,2024-05-23 03:34:11 +0900
6_2023_3OFF50 (2024-05-18 15:54),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-19 00:54:39 +0900,2024-05-23 00:54:39 +0900
June2023_WBACK_10OFF150 (2024-05-18 04:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Expired,2024-05-18 13:00:41 +0900,2024-05-26 13:00:41 +0900
June2023_WBACK_20OFF300 (2024-05-18 01:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-18 10:00:44 +0900,2024-05-26 10:00:44 +0900
June2023_WBACK_3OFF30 (2024-05-18 01:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-18 10:00:40 +0900,2024-05-26 10:00:40 +0900
June2023_TKS_5OFF50 (2024-05-18 01:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-18 10:00:24 +0900,2024-05-26 10:00:24 +0900
June2023_TKS_3OFF30 (2024-05-17 20:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-18 05:00:17 +0900,2024-05-26 05:00:17 +0900
0524_wishlist_5percents_off (2024-05-17 15:31),-5,percentage,Amount Off,order,,,,,all,0,1,1,Expired,2024-05-18 00:31:22 +0900,2024-05-22 00:31:22 +0900
6_2023_3OFF50 (2024-05-17 15:07),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-18 00:07:57 +0900,2024-05-22 00:07:57 +0900
6_2023_5OFF100 (2024-05-17 12:30),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-17 21:30:34 +0900,2024-05-21 21:30:34 +0900
M31NX1E63WT2,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-17 19:37:59 +0900,
NTQKRSDQC7GH,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-17 13:55:21 +0900,
June2023_WBACK_10OFF150 (2024-05-17 04:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Expired,2024-05-17 13:00:40 +0900,2024-05-25 13:00:40 +0900
6_2023_10OFF300 (2024-05-17 03:56),-10,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-17 12:56:32 +0900,2024-05-21 12:56:32 +0900
FEVZ0HP2M169,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-17 12:19:59 +0900,
YKTGB9GKZXRC,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-17 11:17:55 +0900,
June2023_WBACK_20OFF300 (2024-05-17 01:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-17 10:00:37 +0900,2024-05-25 10:00:37 +0900
June2023_TKS_5OFF50 (2024-05-17 01:00),-5,fixed_amount,Amount Off,order,50,,,,all,2,1,1,Expired,2024-05-17 10:00:18 +0900,2024-05-25 10:00:18 +0900
June2023_WBACK_3OFF30 (2024-05-16 20:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-17 05:00:34 +0900,2024-05-25 05:00:34 +0900
June2023_TKS_3OFF30 (2024-05-16 13:01),-3,fixed_amount,Amount Off,order,30,,,,all,1,1,1,Expired,2024-05-16 22:01:11 +0900,2024-05-24 22:01:11 +0900
6_2023_3OFF50 (2024-05-16 12:01),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-16 21:01:45 +0900,2024-05-20 21:01:45 +0900
R96KK4J0ARA2,-10,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-16 19:31:44 +0900,
HT16TZ5JKD3X,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-16 12:25:01 +0900,
June2023_WBACK_10OFF150 (2024-05-16 02:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Expired,2024-05-16 11:00:41 +0900,2024-05-24 11:00:41 +0900
6_2023_5OFF100 (2024-05-15 21:55),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-16 06:55:41 +0900,2024-05-20 06:55:41 +0900
June2023_WBACK_20OFF300 (2024-05-15 20:02),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-16 05:02:28 +0900,2024-05-24 05:02:28 +0900
June2023_TKS_5OFF50 (2024-05-15 20:01),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-16 05:01:28 +0900,2024-05-24 05:01:28 +0900
June2023_WBACK_3OFF30 (2024-05-15 19:07),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-16 04:07:02 +0900,2024-05-24 04:07:02 +0900
6_2023_10OFF300 (2024-05-15 13:32),-10,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-15 22:32:40 +0900,2024-05-19 22:32:40 +0900
6_2023_3OFF50 (2024-05-15 11:28),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-15 20:28:33 +0900,2024-05-19 20:28:33 +0900
P3JQJ92J9VRC,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-15 19:59:57 +0900,
XBSZ2ZFW11JA,-7,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-15 17:07:39 +0900,
T0KT955RYRWE,-7,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-15 16:30:37 +0900,
87Z3FXD7JSY1,-7,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-15 15:14:03 +0900,
0524_wishlist_5percents_off (2024-05-15 04:18),-5,percentage,Amount Off,order,,,,,all,0,1,1,Expired,2024-05-15 13:18:32 +0900,2024-05-19 13:18:32 +0900
June2023_TKS_3OFF30 (2024-05-15 04:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-15 13:00:17 +0900,2024-05-23 13:00:17 +0900
6_2023_5OFF100 (2024-05-14 20:19),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-15 05:19:39 +0900,2024-05-19 05:19:39 +0900
June2023_WBACK_10OFF150 (2024-05-14 20:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Expired,2024-05-15 05:00:41 +0900,2024-05-23 05:00:41 +0900
June2023_WBACK_20OFF300 (2024-05-14 20:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-15 05:00:40 +0900,2024-05-23 05:00:40 +0900
June2023_TKS_5OFF50 (2024-05-14 20:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-15 05:00:22 +0900,2024-05-23 05:00:22 +0900
June2023_WBACK_3OFF30 (2024-05-14 19:01),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-15 04:01:16 +0900,2024-05-23 04:01:16 +0900
6_2023_3OFF50 (2024-05-14 10:29),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-14 19:29:36 +0900,2024-05-18 19:29:36 +0900
MK9GRSRD56A3,-5,percentage,Amount Off,order,,,,,all,0,1,1,Active,2024-05-14 19:15:18 +0900,
JFTHANKYOU (2024-05-14 07:16),-5,percentage,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-14 16:16:20 +0900,2024-05-22 16:16:20 +0900
6_2023_10OFF300 (2024-05-14 05:16),-10,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-14 14:16:32 +0900,2024-05-18 14:16:32 +0900
June2023_TKS_3OFF30 (2024-05-14 04:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-14 13:00:17 +0900,2024-05-22 13:00:17 +0900
HQP9EEYMJ9KA,-7,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-14 11:25:19 +0900,
June2023_WBACK_20OFF300 (2024-05-13 20:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-14 05:00:38 +0900,2024-05-22 05:00:38 +0900
June2023_TKS_5OFF50 (2024-05-13 20:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-14 05:00:18 +0900,2024-05-22 05:00:18 +0900
6_2023_5OFF100 (2024-05-13 19:31),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-14 04:31:33 +0900,2024-05-18 04:31:33 +0900
June2023_WBACK_3OFF30 (2024-05-13 19:01),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-14 04:01:07 +0900,2024-05-22 04:01:07 +0900
June2023_WBACK_10OFF150 (2024-05-13 11:01),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Expired,2024-05-13 20:01:10 +0900,2024-05-21 20:01:10 +0900
6_2023_3OFF50 (2024-05-13 10:10),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-13 19:10:30 +0900,2024-05-17 19:10:30 +0900
NMD9RT8W73D2,-7,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-13 12:41:47 +0900,
June2023_TKS_3OFF30 (2024-05-13 03:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-13 12:00:17 +0900,2024-05-21 12:00:17 +0900
June2023_WBACK_20OFF300 (2024-05-12 20:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-13 05:00:37 +0900,2024-05-21 05:00:37 +0900
June2023_TKS_5OFF50 (2024-05-12 19:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-13 04:00:45 +0900,2024-05-21 04:00:45 +0900
6_2023_5OFF100 (2024-05-12 18:03),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-13 03:03:34 +0900,2024-05-17 03:03:34 +0900
June2023_WBACK_3OFF30 (2024-05-12 11:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-12 20:00:59 +0900,2024-05-20 20:00:59 +0900
6_2023_10OFF300 (2024-05-12 10:21),-10,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-12 19:21:31 +0900,2024-05-16 19:21:31 +0900
WKQXGB0EGTPT,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-12 15:38:27 +0900,
JFTHANKYOU (2024-05-12 05:23),-5,percentage,Amount Off,order,50,,,,all,1,1,1,Expired,2024-05-12 14:23:33 +0900,2024-05-20 14:23:33 +0900
June2023_WBACK_10OFF150 (2024-05-12 04:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Expired,2024-05-12 13:00:41 +0900,2024-05-20 13:00:41 +0900
6_2023_3OFF50 (2024-05-12 03:44),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-12 12:44:30 +0900,2024-05-16 12:44:30 +0900
June2023_TKS_3OFF30 (2024-05-12 03:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-12 12:00:16 +0900,2024-05-20 12:00:16 +0900
June2023_WBACK_20OFF300 (2024-05-11 20:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-12 05:00:37 +0900,2024-05-20 05:00:37 +0900
June2023_TKS_5OFF50 (2024-05-11 19:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-12 04:00:28 +0900,2024-05-20 04:00:28 +0900
6_2023_5OFF100 (2024-05-11 13:27),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-11 22:27:34 +0900,2024-05-15 22:27:34 +0900
June2023_WBACK_10OFF150 (2024-05-11 04:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Expired,2024-05-11 13:00:40 +0900,2024-05-19 13:00:40 +0900
June2023_WBACK_3OFF30 (2024-05-11 04:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-11 13:00:39 +0900,2024-05-19 13:00:39 +0900
6_2023_3OFF50 (2024-05-11 02:43),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-11 11:43:30 +0900,2024-05-15 11:43:30 +0900
June2023_TKS_3OFF30 (2024-05-11 02:41),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-11 11:41:40 +0900,2024-05-19 11:41:40 +0900
7e1f739044e7,-2,fixed_amount,Amount Off,order,,,,,all,0,,1,Active,2024-05-11 08:37:35 +0900,
6_2023_10OFF300 (2024-05-10 17:35),-10,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-11 02:35:37 +0900,2024-05-15 02:35:37 +0900
June2023_WBACK_20OFF300 (2024-05-10 13:04),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-10 22:04:38 +0900,2024-05-18 22:04:38 +0900
PSG1D5Z9KA0K,-7,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-10 17:07:49 +0900,
S1GTQMY20DHT,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-10 16:16:14 +0900,
DACVTJFB50NB,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-10 15:27:30 +0900,
JFTHANKYOU (2024-05-10 04:02),-5,percentage,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-10 13:02:31 +0900,2024-05-18 13:02:31 +0900
June2023_WBACK_10OFF150 (2024-05-10 02:41),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Expired,2024-05-10 11:41:49 +0900,2024-05-18 11:41:49 +0900
June2023_WBACK_3OFF30 (2024-05-10 02:41),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Expired,2024-05-10 11:41:48 +0900,2024-05-18 11:41:48 +0900
